2026-01-18 02:24:28,359 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[a2a_webui_app_broker_output]: Connecting to broker at tcp://localhost:55555.
2026-01-18 02:24:28,372 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[a2a_webui_app_broker_output]: Successfully connected to broker at tcp://localhost:55555.
2026-01-18 02:24:28,372 | INFO  | MainThread | solace_agent_mesh.gateway.base.app | BaseGatewayApp 'a2a_webui_app' initialized successfully.
2026-01-18 02:24:28,372 | INFO  | MainThread | solace_ai_connector.solace_ai_connector | Creating app platform_service_app
2026-01-18 02:24:28,386 | INFO  | MainThread | solace_agent_mesh.services.platform.app | Configured broker for Platform Service with namespace: default_namespace/ and 1 subscription(s): [{'topic': 'default_namespace/a2a/v1/discovery/>'}]
2026-01-18 02:24:28,392 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[platform_service_app_broker_input]: reconnection_strategy not provided, using default value of forever_retry
2026-01-18 02:24:28,392 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[platform_service_app_broker_input]: retry_interval not provided, using default value of 3000 milliseconds
2026-01-18 02:24:28,393 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[platform_service_app_broker_input]: Connecting to broker at tcp://localhost:55555.
2026-01-18 02:24:28,407 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[platform_service_app_broker_input]: Successfully connected to broker at tcp://localhost:55555.
2026-01-18 02:24:28,464 | INFO  | MainThread | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.platform_service_app_implicit_flow.<unnamed>]  Initializing SamComponentBase...
2026-01-18 02:24:28,464 | INFO  | MainThread | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.platform_service_app_implicit_flow.<unnamed>]  Initialized SamComponentBase
2026-01-18 02:24:28,465 | INFO  | MainThread | solace_agent_mesh.services.platform.component | [solace_ai_connector.platform_service_app_implicit_flow.<unnamed>]  Initializing Platform Service Component...
2026-01-18 02:24:28,465 | INFO  | MainThread | solace_agent_mesh.services.platform.component | [solace_ai_connector.platform_service_app_implicit_flow.<unnamed>]  Platform service configuration retrieved (Host: 127.0.0.1, Port: 8081, Auth: disabled).
2026-01-18 02:24:28,466 | INFO  | MainThread | solace_agent_mesh.core_a2a.service | [CoreA2AService-Platform] Initialized with namespace: default_namespace/
2026-01-18 02:24:28,466 | INFO  | MainThread | solace_agent_mesh.services.platform.component | [solace_ai_connector.platform_service_app_implicit_flow.<unnamed>]  Agent and gateway discovery services initialized
2026-01-18 02:24:28,467 | INFO  | MainThread | solace_agent_mesh.services.platform.component | [solace_ai_connector.platform_service_app_implicit_flow.<unnamed>]  Running database migrations...
2026-01-18 02:24:28,471 | INFO  | MainThread | solace_agent_mesh.services.platform.api.main | [Platform Service] Initializing database and running migrations...
2026-01-18 02:24:28,473 | INFO  | MainThread | solace_agent_mesh.services.platform.api.main | [Platform Service] Database initialization complete
2026-01-18 02:24:28,474 | INFO  | MainThread | solace_agent_mesh.services.platform.component | [solace_ai_connector.platform_service_app_implicit_flow.<unnamed>]  Database migrations completed
2026-01-18 02:24:28,474 | INFO  | MainThread | solace_agent_mesh.services.platform.component | [solace_ai_connector.platform_service_app_implicit_flow.<unnamed>]  Platform Service Component initialized.
2026-01-18 02:24:28,477 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[platform_service_app_broker_output]: reconnection_strategy not provided, using default value of forever_retry
2026-01-18 02:24:28,478 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[platform_service_app_broker_output]: retry_interval not provided, using default value of 3000 milliseconds
2026-01-18 02:24:28,479 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[platform_service_app_broker_output]: Connecting to broker at tcp://localhost:55555.
2026-01-18 02:24:28,492 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[platform_service_app_broker_output]: Successfully connected to broker at tcp://localhost:55555.
2026-01-18 02:24:28,495 | INFO  | Thread-14 (run) | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.orchestrator-agent_app_implicit_flow.<unnamed>]  Starting SamComponentBase run method.
2026-01-18 02:24:28,496 | INFO  | Thread-21 (run) | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.VitalsSpecialist__app_implicit_flow.<unnamed>]  Starting SamComponentBase run method.
2026-01-18 02:24:28,498 | INFO  | Thread-28 (run) | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.a2a_webui_app_implicit_flow.<unnamed>]  Starting SamComponentBase run method.
2026-01-18 02:24:28,500 | INFO  | Thread-35 (run) | solace_agent_mesh.common.sac.sam_component_base | [solace_ai_connector.platform_service_app_implicit_flow.<unnamed>]  Starting SamComponentBase run method.
2026-01-18 02:24:28,501 | INFO  | MainThread | solace_ai_connector.solace_ai_connector | Solace AI Event Connector started successfully
2026-01-18 02:24:28,501 | INFO  | Thread-35 (run) | solace_agent_mesh.services.platform.component | [solace_ai_connector.platform_service_app_implicit_flow.<unnamed>]  Starting late initialization (broker-dependent services)...
